,sold_at,type,price_total,status,date
122,2018-02-10 16:00:00,retail_medical,2042503.499999989,sale,2018-02-10
123,2018-02-10 16:00:00,wholesale,167820.07,sale,2018-02-10
124,2018-02-11 16:00:00,retail_medical,-487.68999999999994,return,2018-02-11
125,2018-02-11 16:00:00,retail_medical,2109415.8399999957,sale,2018-02-11
126,2018-02-11 16:00:00,wholesale,1381109.0300000003,sale,2018-02-11
127,2018-02-12 16:00:00,retail_medical,-1404.8100000000006,return,2018-02-12
128,2018-02-12 16:00:00,retail_medical,2167865.4499999997,sale,2018-02-12
129,2018-02-12 16:00:00,wholesale,1097842.1300000001,sale,2018-02-12
130,2017-07-04 17:00:00,retail_medical,0.0,sale,2017-07-04
131,2017-07-05 17:00:00,retail_medical,0.0,sale,2017-07-05
132,2017-07-06 17:00:00,retail_medical,0.0,sale,2017-07-06
133,2017-07-07 17:00:00,retail_medical,0.0,sale,2017-07-07
134,2017-07-08 17:00:00,retail_medical,34.32,sale,2017-07-08
135,2017-07-09 17:00:00,retail_medical,0.0,sale,2017-07-09
136,2017-07-10 17:00:00,retail_medical,34.32,sale,2017-07-10
137,2017-07-11 17:00:00,retail_medical,0.0,sale,2017-07-11
138,2017-07-12 17:00:00,retail_medical,0.0,sale,2017-07-12
139,2017-07-13 17:00:00,retail_medical,0.0,sale,2017-07-13
140,2017-07-14 17:00:00,retail_medical,0.0,sale,2017-07-14
141,2017-07-15 17:00:00,retail_medical,0.0,sale,2017-07-15
142,2017-07-16 17:00:00,retail_medical,0.0,sale,2017-07-16
143,2017-07-17 17:00:00,retail_medical,0.0,sale,2017-07-17
144,2017-07-18 17:00:00,retail_medical,0.0,sale,2017-07-18
145,2017-07-19 17:00:00,retail_medical,0.0,sale,2017-07-19
146,2017-07-20 17:00:00,retail_medical,0.0,sale,2017-07-20
147,2017-07-21 17:00:00,retail_medical,0.0,sale,2017-07-21
148,2017-07-22 17:00:00,retail_medical,0.0,sale,2017-07-22
149,2017-07-23 17:00:00,retail_medical,0.0,sale,2017-07-23
150,2017-07-24 17:00:00,retail_medical,0.0,sale,2017-07-24
151,2017-07-25 17:00:00,retail_medical,0.0,sale,2017-07-25
152,2017-07-26 17:00:00,retail_medical,0.0,sale,2017-07-26
153,2017-07-27 17:00:00,retail_medical,0.0,sale,2017-07-27
154,2017-07-28 17:00:00,retail_medical,0.0,sale,2017-07-28
155,2017-07-29 17:00:00,retail_medical,0.0,sale,2017-07-29
156,2017-07-30 17:00:00,retail_medical,0.0,sale,2017-07-30
157,2017-07-31 17:00:00,retail_medical,0.0,sale,2017-07-31
158,2017-08-01 17:00:00,retail_medical,0.0,sale,2017-08-01
159,2017-08-02 17:00:00,retail_medical,0.0,sale,2017-08-02
160,2017-08-03 17:00:00,retail_medical,0.0,sale,2017-08-03
161,2017-08-04 17:00:00,retail_medical,0.0,sale,2017-08-04
162,2017-08-05 17:00:00,retail_medical,0.0,sale,2017-08-05
163,2017-08-06 17:00:00,retail_medical,0.0,sale,2017-08-06
164,2017-08-07 17:00:00,retail_medical,0.0,sale,2017-08-07
165,2017-08-08 17:00:00,retail_medical,0.0,sale,2017-08-08
166,2017-08-09 17:00:00,retail_medical,0.0,sale,2017-08-09
167,2017-08-10 17:00:00,retail_medical,0.0,sale,2017-08-10
168,2017-08-12 17:00:00,retail_medical,0.0,sale,2017-08-12
169,2017-08-13 17:00:00,retail_medical,0.0,sale,2017-08-13
170,2017-08-15 17:00:00,retail_medical,0.0,sale,2017-08-15
171,2017-08-16 17:00:00,retail_medical,0.0,sale,2017-08-16
172,2017-08-17 17:00:00,retail_medical,0.0,sale,2017-08-17
173,2017-08-18 17:00:00,retail_medical,0.0,sale,2017-08-18
174,2017-08-19 17:00:00,retail_medical,0.0,sale,2017-08-19
175,2017-08-20 17:00:00,retail_medical,0.0,sale,2017-08-20
176,2017-08-21 17:00:00,retail_medical,0.0,sale,2017-08-21
177,2017-08-22 17:00:00,retail_medical,0.0,sale,2017-08-22
178,2017-08-23 17:00:00,retail_medical,0.0,sale,2017-08-23
179,2017-08-24 17:00:00,retail_medical,0.0,sale,2017-08-24
180,2017-08-27 17:00:00,retail_medical,0.0,sale,2017-08-27
