status,date,type,price_total,status
return,2018-03-22,retail_medical,-332.09999999999997,return
sale,2018-03-22,retail_medical,2931411.8999999994,sale
return,2018-03-22,retail_recreational,31.7,return
sale,2018-03-22,retail_recreational,146412.54000000007,sale
sale,2018-03-22,wholesale,4533100.570000001,sale
return,2018-03-23,retail_medical,-358.2699999999999,return
sale,2018-03-23,retail_medical,2599035.7200000044,sale
sale,2018-03-23,retail_recreational,125796.12999999995,sale
sale,2018-03-23,wholesale,723304.7500000003,sale
return,2018-03-24,retail_medical,-330.91,return
sale,2018-03-24,retail_medical,2051755.640000001,sale
return,2018-03-24,retail_recreational,0.01,return
sale,2018-03-24,retail_recreational,95613.46999999993,sale
sale,2018-03-24,wholesale,535849.56,sale
return,2018-03-25,retail_medical,-222.21,return
sale,2018-03-25,retail_medical,2063719.3899999983,sale
sale,2018-03-25,retail_recreational,98083.74999999991,sale
sale,2018-03-25,wholesale,3776340.960000002,sale
return,2018-03-26,retail_medical,-576.5699999999998,return
sale,2018-03-26,retail_medical,2090455.2200000004,sale
return,2018-03-26,retail_recreational,37.19,return
sale,2018-03-26,retail_recreational,99529.42999999995,sale
sale,2018-03-26,wholesale,5726688.160000005,sale
return,2018-03-27,retail_medical,-298.99,return
sale,2018-03-27,retail_medical,2178376.4800000014,sale
return,2018-03-27,retail_recreational,114.47,return
sale,2018-03-27,retail_recreational,102489.3299999999,sale
sale,2018-03-27,wholesale,8123527.110000004,sale
return,2018-03-28,retail_medical,-451.35999999999996,return
sale,2018-03-28,retail_medical,2292142.0800000024,sale
sale,2018-03-28,retail_recreational,110030.75999999986,sale
sale,2018-03-28,wholesale,3461216.690000001,sale
return,2018-03-29,retail_medical,-386.0100000000001,return
sale,2018-03-29,retail_medical,3288333.440000003,sale
sale,2018-03-29,retail_recreational,172261.7100000001,sale
sale,2018-03-29,wholesale,2734394.700000001,sale
return,2018-03-30,retail_medical,-487.53,return
sale,2018-03-30,retail_medical,2729390.6799999983,sale
sale,2018-03-30,retail_recreational,124286.64000000007,sale
sale,2018-03-30,wholesale,762857.8500000004,sale
return,2018-03-31,retail_medical,-249.72000000000003,return
sale,2018-03-31,retail_medical,1981873.6600000022,sale
sale,2018-03-31,retail_recreational,166485.43999999983,sale
sale,2018-03-31,wholesale,547785.6199999999,sale
return,2018-04-01,retail_medical,-548.4199999999998,return
sale,2018-04-01,retail_medical,2178915.430000003,sale
return,2018-04-01,retail_recreational,427.8,return
sale,2018-04-01,retail_recreational,207600.49999999983,sale
sale,2018-04-01,wholesale,3897615.010000002,sale
return,2018-04-02,retail_medical,-514.29,return
sale,2018-04-02,retail_medical,2305814.380000006,sale
sale,2018-04-02,retail_recreational,252518.07999999993,sale
sale,2018-04-02,wholesale,4043848.0,sale
return,2018-04-03,retail_medical,-155.78000000000003,return
sale,2018-04-03,retail_medical,2171724.2199999965,sale
sale,2018-04-03,retail_recreational,286802.3599999994,sale
sale,2018-04-03,wholesale,3465878.01,sale
return,2018-04-04,retail_medical,-244.9,return
sale,2018-04-04,retail_medical,2331029.2299999953,sale
sale,2018-04-04,retail_recreational,323203.9199999995,sale
sale,2018-04-04,wholesale,3339629.01,sale
return,2018-04-05,retail_medical,-576.8199999999999,return
sale,2018-04-05,retail_medical,2921538.989999982,sale
sale,2018-04-05,retail_recreational,410368.00999999954,sale
sale,2018-04-05,wholesale,4021012.910000003,sale
return,2018-04-06,retail_medical,-311.62,return
sale,2018-04-06,retail_medical,2519123.3099999973,sale
return,2018-04-06,retail_recreational,538.84,return
sale,2018-04-06,retail_recreational,379132.4499999997,sale
sale,2018-04-06,wholesale,568730.5700000002,sale
return,2018-04-07,retail_medical,-135.52,return
sale,2018-04-07,retail_medical,1948033.2500000014,sale
sale,2018-04-07,retail_recreational,336633.35999999964,sale
sale,2018-04-07,wholesale,456200.2799999999,sale
return,2018-04-08,retail_medical,-399.61,return
sale,2018-04-08,retail_medical,1950510.0299999972,sale
sale,2018-04-08,retail_recreational,326242.89999999973,sale
sale,2018-04-08,wholesale,4169364.3800000004,sale
return,2018-04-09,retail_medical,-282.25,return
sale,2018-04-09,retail_medical,2020003.5799999894,sale
return,2018-04-09,retail_recreational,307.63,return
sale,2018-04-09,retail_recreational,330428.8099999997,sale
sale,2018-04-09,wholesale,5244160.620000005,sale
return,2018-04-10,retail_medical,-404.88000000000005,return
sale,2018-04-10,retail_medical,2022918.6599999873,sale
sale,2018-04-10,retail_recreational,356612.5999999994,sale
sale,2018-04-10,wholesale,12227846.420000026,sale
return,2018-04-11,retail_medical,-617.28,return
sale,2018-04-11,retail_medical,2089441.7000000132,sale
sale,2018-04-11,retail_recreational,382505.0099999997,sale
sale,2018-04-11,wholesale,4503022.45,sale
return,2018-04-12,retail_medical,-295.77,return
sale,2018-04-12,retail_medical,2760624.089999992,sale
sale,2018-04-12,retail_recreational,555041.1799999995,sale
sale,2018-04-12,wholesale,3841633.91,sale
return,2018-04-13,retail_medical,-443.87,return
sale,2018-04-13,retail_medical,2392726.7999999993,sale
sale,2018-04-13,retail_recreational,454022.6399999991,sale
sale,2018-04-13,wholesale,665718.56,sale
return,2018-04-14,retail_medical,-281.87,return
sale,2018-04-14,retail_medical,1869981.6700000064,sale
sale,2018-04-14,retail_recreational,358929.0499999995,sale
sale,2018-04-14,wholesale,524629.3800000001,sale
return,2018-04-15,retail_medical,-213.34,return
sale,2018-04-15,retail_medical,1884156.6699999974,sale
return,2018-04-15,retail_recreational,852.98,return
sale,2018-04-15,retail_recreational,383980.4499999995,sale
sale,2018-04-15,wholesale,4490739.71,sale
return,2018-04-16,retail_medical,-327.82,return
sale,2018-04-16,retail_medical,1906052.0099999998,sale
sale,2018-04-16,retail_recreational,368695.1099999996,sale
sale,2018-04-16,wholesale,4495830.280000007,sale
return,2018-04-17,retail_medical,-797.0299999999997,return
sale,2018-04-17,retail_medical,2035413.0600000008,sale
sale,2018-04-17,retail_recreational,453548.31999999966,sale
sale,2018-04-17,wholesale,5085919.180000005,sale
return,2018-04-18,retail_medical,-316.97,return
sale,2018-04-18,retail_medical,2188012.3799999785,sale
sale,2018-04-18,retail_recreational,519365.16000000015,sale
sale,2018-04-18,wholesale,131369311.91999996,sale
return,2018-04-19,retail_medical,-489.6300000000001,return
sale,2018-04-19,retail_medical,5699618.600000095,sale
return,2018-04-19,retail_recreational,414.72,return
sale,2018-04-19,retail_recreational,1173780.930000001,sale
sale,2018-04-19,wholesale,1659762.3899999992,sale
return,2018-04-20,retail_medical,-511.26,return
sale,2018-04-20,retail_medical,2039822.1899999909,sale
sale,2018-04-20,retail_recreational,440156.8600000001,sale
sale,2018-04-20,wholesale,563241.33,sale
return,2018-04-21,retail_medical,-521.21,return
sale,2018-04-21,retail_medical,1489326.699999994,sale
sale,2018-04-21,retail_recreational,354999.96999999986,sale
sale,2018-04-21,wholesale,223021.58999999994,sale
return,2018-04-22,retail_medical,-464.3800000000001,return
sale,2018-04-22,retail_medical,1519053.2600000005,sale
sale,2018-04-22,retail_recreational,364935.9799999997,sale
sale,2018-04-22,wholesale,3427636.1899999995,sale
return,2018-04-23,retail_medical,-374.69000000000005,return
sale,2018-04-23,retail_medical,1577496.39000001,sale
return,2018-04-23,retail_recreational,279.53,return
sale,2018-04-23,retail_recreational,368140.9900000001,sale
sale,2018-04-23,wholesale,2974222.5400000033,sale
return,2018-04-24,retail_medical,-310.77000000000004,return
sale,2018-04-24,retail_medical,1741049.4099999983,sale
sale,2018-04-24,retail_recreational,413956.2599999998,sale
sale,2018-04-24,wholesale,4169788.800000002,sale
return,2018-04-25,retail_medical,-413.76000000000005,return
sale,2018-04-25,retail_medical,1775956.739999997,sale
return,2018-04-25,retail_recreational,193.22,return
sale,2018-04-25,retail_recreational,438619.7799999999,sale
sale,2018-04-25,wholesale,4720966.95,sale
return,2018-04-26,retail_medical,-420.6600000000001,return
sale,2018-04-26,retail_medical,2341186.620000031,sale
sale,2018-04-26,retail_recreational,597869.1300000002,sale
sale,2018-04-26,wholesale,2954322.139999998,sale
return,2018-04-27,retail_medical,-308.76000000000005,return
sale,2018-04-27,retail_medical,2104147.940000011,sale
return,2018-04-27,retail_recreational,410.26,return
sale,2018-04-27,retail_recreational,547065.85,sale
sale,2018-04-27,wholesale,554343.8700000001,sale
return,2018-04-28,retail_medical,-421.77000000000004,return
sale,2018-04-28,retail_medical,1663472.2099999983,sale
sale,2018-04-28,retail_recreational,444049.41,sale
sale,2018-04-28,wholesale,772541.5599999999,sale
return,2018-04-29,retail_medical,-644.0799999999999,return
sale,2018-04-29,retail_medical,1759070.4100000006,sale
sale,2018-04-29,retail_recreational,406111.1299999998,sale
sale,2018-04-29,wholesale,208792168.8599999,sale
return,2018-04-30,retail_medical,-275.49,return
sale,2018-04-30,retail_medical,2073374.3299999873,sale
sale,2018-04-30,retail_recreational,533139.4199999999,sale
sale,2018-04-30,wholesale,5354045.249999997,sale
return,2018-05-01,retail_medical,-464.67999999999995,return
sale,2018-05-01,retail_medical,1837649.5999999838,sale
sale,2018-05-01,retail_recreational,499808.08000000066,sale
sale,2018-05-01,wholesale,3211752.0699999994,sale
return,2018-05-02,retail_medical,-464.87,return
sale,2018-05-02,retail_medical,2044720.8400000075,sale
return,2018-05-02,retail_recreational,177.19,return
sale,2018-05-02,retail_recreational,570961.9400000002,sale
sale,2018-05-02,wholesale,6887340.000000011,sale
return,2018-05-03,retail_medical,-264.0,return
sale,2018-05-03,retail_medical,2512277.1799999936,sale
sale,2018-05-03,retail_recreational,747197.0399999997,sale
return,2018-05-03,retail_recreational,47.85,return
sale,2018-05-03,wholesale,2744042.7500000005,sale
return,2018-05-04,retail_medical,-594.1700000000002,return
sale,2018-05-04,retail_medical,2141285.5499999947,sale
sale,2018-05-04,retail_recreational,639539.5000000001,sale
sale,2018-05-04,wholesale,794141.0499999998,sale
return,2018-05-05,retail_medical,-283.7900000000001,return
sale,2018-05-05,retail_medical,1654490.9499999941,sale
sale,2018-05-05,retail_recreational,524095.6799999995,sale
sale,2018-05-05,wholesale,372746.26999999984,sale
return,2018-05-06,retail_medical,-141.42,return
sale,2018-05-06,retail_medical,1677104.1899999941,sale
return,2018-05-06,retail_recreational,86.58,return
sale,2018-05-06,retail_recreational,537279.5399999997,sale
sale,2018-05-06,wholesale,3655258.24,sale
return,2018-05-07,retail_medical,-711.18,return
sale,2018-05-07,retail_medical,1688425.4699999965,sale
sale,2018-05-07,retail_recreational,516742.9099999996,sale
sale,2018-05-07,wholesale,3348403.2200000016,sale
return,2018-05-08,retail_medical,-556.82,return
sale,2018-05-08,retail_medical,1748007.8999999876,sale
sale,2018-05-08,retail_recreational,538422.88,sale
sale,2018-05-08,wholesale,3484226.6800000016,sale
return,2018-05-09,retail_medical,-431.8699999999999,return
sale,2018-05-09,retail_medical,1872527.1699999925,sale
sale,2018-05-09,retail_recreational,595925.6299999998,sale
sale,2018-05-09,wholesale,3092641.98,sale
return,2018-05-10,retail_medical,-595.7900000000001,return
sale,2018-05-10,retail_medical,2392426.3799999882,sale
sale,2018-05-10,retail_recreational,786459.4600000001,sale
sale,2018-05-10,wholesale,2664522.820000002,sale
return,2018-05-11,retail_medical,-151.14999999999998,return
sale,2018-05-11,retail_medical,2051610.630000001,sale
sale,2018-05-11,retail_recreational,690948.6600000014,sale
sale,2018-05-11,wholesale,514541.62000000005,sale
return,2018-05-12,retail_medical,-387.75000000000006,return
sale,2018-05-12,retail_medical,1604765.1299999899,sale
sale,2018-05-12,retail_recreational,560606.4300000014,sale
sale,2018-05-12,wholesale,505192.1999999999,sale
return,2018-05-13,retail_medical,-527.0700000000002,return
sale,2018-05-13,retail_medical,1540750.309999994,sale
sale,2018-05-13,retail_recreational,555381.0300000007,sale
sale,2018-05-13,wholesale,3674135.0300000003,sale
return,2018-04-02,retail_recreational,570.9,return
return,2018-04-03,retail_recreational,312.75,return
return,2018-04-04,retail_recreational,807.75,return
return,2018-04-05,retail_recreational,838.85,return
return,2018-04-07,retail_recreational,498.28999999999996,return
return,2018-04-08,retail_recreational,675.48,return
return,2018-04-10,retail_recreational,709.0,return
return,2018-04-11,retail_recreational,360.55,return
return,2018-04-12,retail_recreational,867.8099999999998,return
return,2018-04-13,retail_recreational,538.0100000000001,return
return,2018-04-14,retail_recreational,318.71999999999997,return
return,2018-04-16,retail_recreational,481.81999999999994,return
return,2018-04-17,retail_recreational,639.4000000000001,return
return,2018-04-18,retail_recreational,494.2300000000001,return
return,2018-04-20,retail_recreational,489.33000000000004,return
return,2018-04-21,retail_recreational,112.59,return
return,2018-04-22,retail_recreational,298.24,return
return,2018-04-24,retail_recreational,274.09999999999997,return
return,2018-04-26,retail_recreational,290.73,return
return,2018-04-28,retail_recreational,185.98,return
return,2018-04-29,retail_recreational,139.77999999999997,return
return,2018-04-30,retail_recreational,30.47,return
return,2018-05-14,retail_medical,-483.22,return
sale,2018-05-14,retail_medical,1680636.419999993,sale
sale,2018-05-14,retail_recreational,585253.1000000011,sale
sale,2018-05-14,wholesale,3154779.499999994,sale
return,2018-05-15,retail_medical,-644.0400000000001,return
sale,2018-05-15,retail_medical,1735109.379999995,sale
return,2018-05-15,retail_recreational,46.709999999999994,return
sale,2018-05-15,retail_recreational,616632.7800000019,sale
sale,2018-05-15,wholesale,2837841.9500000007,sale
return,2018-05-16,retail_medical,-538.5799999999999,return
sale,2018-05-16,retail_medical,1764557.5400000042,sale
sale,2018-05-16,retail_recreational,639467.1900000011,sale
sale,2018-05-16,wholesale,2497402.220000001,sale
return,2018-05-17,retail_medical,-357.05000000000007,return
sale,2018-05-17,retail_medical,2368742.809999985,sale
sale,2018-05-17,retail_recreational,891332.2500000009,sale
sale,2018-05-17,wholesale,2386016.3600000003,sale
return,2018-05-18,retail_medical,-479.33000000000015,return
sale,2018-05-18,retail_medical,1981476.3400000024,sale
sale,2018-05-18,retail_recreational,721764.6700000016,sale
sale,2018-05-18,wholesale,458496.4499999999,sale
return,2018-05-19,retail_medical,-433.6500000000001,return
sale,2018-05-19,retail_medical,1552671.5999999996,sale
sale,2018-05-19,retail_recreational,617746.380000001,sale
return,2018-03-31,retail_recreational,358.76,return
sale,2018-05-19,wholesale,483582.58999999997,sale
return,2018-05-20,retail_medical,-348.24,return
sale,2018-05-20,retail_medical,1608125.4099999976,sale
sale,2018-05-20,retail_recreational,629575.0100000015,sale
sale,2018-05-20,wholesale,3136878.8999999976,sale
return,2018-05-21,retail_medical,-326.95000000000005,return
sale,2018-05-21,retail_medical,1601665.509999991,sale
sale,2018-05-21,retail_recreational,621497.0600000013,sale
sale,2018-05-21,wholesale,3486368.280000002,sale
return,2018-05-22,retail_medical,-237.11999999999995,return
sale,2018-05-22,retail_medical,1654137.3099999977,sale
sale,2018-05-22,retail_recreational,652504.3700000021,sale
sale,2018-05-22,wholesale,3511979.639999998,sale
return,2018-05-23,retail_medical,-476.52000000000004,return
sale,2018-05-23,retail_medical,1796743.8099999796,sale
sale,2018-05-23,retail_recreational,746978.180000002,sale
sale,2018-05-23,wholesale,3713430.9700000016,sale
return,2018-05-24,retail_medical,-345.23,return
sale,2018-05-24,retail_medical,2440994.7799999537,sale
sale,2018-05-24,retail_recreational,1007574.7700000026,sale
sale,2018-05-24,wholesale,2606861.960000001,sale
sale,2018-05-25,retail_medical,1920383.3400000336,sale
return,2018-05-25,retail_medical,-652.3400000000001,return
sale,2018-05-25,retail_recreational,786319.8400000015,sale
sale,2018-05-25,wholesale,315407.82,sale
return,2018-05-26,retail_medical,-422.01000000000005,return
sale,2018-05-26,retail_medical,1516855.0199999923,sale
